Property,Value
Method of measurement,"Data on improved sanitation facilities are routinely collected in household surveys and censuses. These data sources may also collect information on sharing of sanitation facilities are shared, and on emptying of on-site sanitation facilities. Household-level responses, weighted by household size, are used to compute population coverage. Data on treatment of wastewater and faecal sludge from on-site sanitation systems are routinely collected by drinking water regulators, ministries, utilities, municipalities and other government institutions with authority for oversight of service delivery."
Method of estimation aggregates,"Regional and global estimates are weighted averages of the country data, using the population for the reference year as the weight. No estimates are reported if less than 30 per cent of the population in the region or world are covered."
Process of validation,"Every two years the JMP updates its global databases to incorporate the latest available national data for the global SDG indicators. National authorities are consulted on the estimates generated from national data sources through a country consultation process facilitated by WHO and UNICEF country offices. The country consultation aims to engage national statistical offices and other relevant national stakeholders to review the draft estimates and provide technical feedback to the JMP team.
The purpose of the consultation is not to compare JMP and national estimates of WASH coverage but rather to review the completeness or correctness of the datasets in the JMP country file and to verify the interpretation of national data in the JMP estimates. The JMP provides detailed guidance to facilitate country consultation on the estimates contained in JMP country files. The consultation focusses on three main questions:
1. Is the country file missing any relevant national sources of data that would allow for better estimates? 
2. Are the data sources listed considered reliable and suitable for use as official national statistics?
3. Is the JMP interpretation and classification of the data extracted from national sources accurate and appropriate?
The JMP estimates are circulated for a 2 month period of consultation with national authorities starting in the fourth quarter of the year prior to publication (https://washdata.org/how-we-work/jmp-country-consultation)."
Rationale,"Sanitation is fundamental to human development. Many international organizations use hygienic sanitation facilities as a measure for progress in the fight against poverty, disease, and death. Access to proper sanitation is also considered to be a human right, not a privilege, for every man, woman, and child. Sanitation generally refers to the provision of facilities and services for the safe disposal of human urine and faeces. Inadequate sanitation is a major cause of disease world-wide and improving sanitation is known to have a significant beneficial impact on people's health. Improvements in sanitation can reduce diarrheal disease, and can significantly lessen the adverse health impacts of other disorders responsible for death and disease among millions of children. Diarrhoea and worm infections weaken children and make them more susceptible to malnutrition and opportunistic infections like pneumonia, measles and malaria."
Denominator,"Data on emptying and disposal of waste from on-site containers and the treatment of wastewater from sewer connections are increasingly available through a combination of household surveys and administrative sources including regulators, but definitions have yet to be fully standardized.
The information available about wastewater transported to treatment may not always provide a complete picture. Not all excreta from toilet facilities conveyed in sewers (sewage) or emptied from pit latrines and septic tanks (faecal sludge) reaches a treatment plant. For instance, a portion may leak from the sewer itself or, due to broken pumping installations, be discharged directly to the environment. Similarly, a portion of the faecal sludge emptied from containers may be discharged into open drains, to open ground or water bodies, rather than being transported to a treatment plant. And finally, even once the excreta reaches a treatment plant a portion may remain untreated due to dysfunctional treatment equipment or inadequate treatment capacity, and be discharged to the environment. Data on the proportion of sewage and faecal sludge which is lost in transportation are rare."
Institutional mandate,"The WHO/UNICEF JMP was established in 1990 to monitor global progress on drinking water, sanitation and hygiene (see washdata.org)."
Comments,"The WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) uses a simple improved/unimproved facility type classification that has been refined over time. ‘Improved’ sanitation facilities are those designed to hygienically separate excreta from human contact, and this metric was used beginning in 2000 to track progress towards MDG target 7c. International consultations since 2011 have established consensus on the need to build on and address the shortcomings of this indicator; specifically, to address normative criteria of the human right to water and sanitation (UN General Assembly Resolution A/RES/64/292) and concluded that global monitoring should go beyond the basic level of access and consider safe management of faecal wastes. As a result, the SDG indicator 6.2.1.a is designed to address safe management of sanitation services along the sanitation chain, including containment, emptying, treatment and disposal of the wastes. In other words, the indicator combines information on whether households use improved and private (not shared) toilets and safe management of the faecal waste deposited in those toilets."
Notes,"For monitoring of safely managed sanitation services, excreta from different types of sanitation facilities are tracked through stages of the ‘sanitation management chain’: containment, emptying, transport, treatment, and reuse or final disposal. These stages are followed separately for excreta flushed into sewer networks, and for excreta stored in on-site containers such as septic tanks and pit latrines.
Excreta from on-site storage containers (pit latrines and septic tanks) can be treated and disposed of off-site, when faecal sludge is emptied from containers and delivered to treatment plants designed to receive faecal sludge. Excreta flushed into sewer networks can also be treated off-site, if the excreta reaches treatment plants and receives a minimum level of treatment.
For the purposes of SDG monitoring, treatment of wastewater and faecal sludge is assessed based on the treatment plant design technology, using categories defined by the System of Environmental-Economic Accounting (SEEA) and the International Recommendations for Water Statistics and following a laddered approach (primary, secondary and tertiary treatment). Wastewater and faecal sludge receiving secondary or higher levels of treatment are considered ‘safely managed’. Primary treatment is not considered safely managed, unless the effluent is discharged in a way that precludes further human contact (e.g. through a long ocean outfall). If data are available for conventional classes (primary, secondary, tertiary, advanced) as well as for ambiguous categories (e.g. “other”), ambiguous categories are generally not considered as safely managed. Where treatment classes are not specified (e.g. “treated”) the JMP assumes at least secondary treatment but seeks clarification during country consultations. Treatment of excreta in faecal sludge treatment plants is classified as safely managed if both the liquid and solid fractions are treated.
Excreta stored in on-site storage containers can be safely treated and disposed of on-site (‘safe disposal in situ’) if pit latrines and septic tanks are not emptied and excreta are contained (remain isolated from human contact) such that solids degrade within the container through physical and biological processes, and liquid effluent connects to an infiltration system such as a soakaway pit or leachfield. Faecal sludge emptied from septic tanks and pit latrines and buried on-site in a covered pit is also counted as safely disposed of in situ."
Data collection process,"The data search is largely done by systematically visiting the websites of national statistical offices, and key sector institutions such as ministries of water and sanitation, regulators of drinking water and sanitation services, etc. Other regional and global databases are also reviewed for new datasets. UNICEF and WHO regional and country offices provides support to identify newly available household surveys, censuses and administrative datasets.
Before publishing, all JMP estimates undergo rigorous country consultations facilitated by WHO and UNICEF country offices. Often these consultations give rise to in-country visits or virtual meetings about data on drinking water, sanitation and hygiene services and the monitoring systems that collect these data.
Some datasets available to the JMP are not representative of national, rural or urban populations, or may be representative of only a subset of these populations (e.g. the population using sewer connections). The JMP enters datasets into the global database when they represent at least 20% of the national, urban or rural populations. However, datasets representing less than 80% of the relevant population, or which are considered unreliable or inconsistent with other datasets covering similar populations, are not used in the production of estimates (see section 2.6, Data Acceptance in JMP Methodology: 2017 update and SDG baselines).
In some cases, a dataset can be used for one or more but not all indicators, because of variable data availability and quality. For example, a household survey might yield reliable data on “improved sanitation” but unreliable data distinguishing sewer connections from on-site sanitation systems, because of ambiguous question wording or inadequate training of survey teams."
Preferred data sources,"Data sources included in the JMP database are:
• Censuses, which in principle collect basic data from all people living within a country and led by national statistical offices.
• Household surveys, which collect data from a subset of households. These may target national, rural, or urban populations, or more limited project or sub-national areas. An appropriate sample design is necessary for survey results to be representative, and surveys are often led by or reviewed and approved by national statistical organizations.
• Administrative data, which may consist of information collected by government or non-government entities involved in the delivery or oversight of services. Examples include water and sanitation inventories and databases, and reports of regulators.
• Other datasets may be available such as compilations by international or regional initiatives (e.g. Eurostat), studies conducted by research institutes, or technical advice received during country consultations.
Access to water, sanitation and hygiene are considered core socio-economic and health indicators, as well as key determinants of child survival, maternal, and children’s health, family wellbeing, and economic productivity. Drinking water and sanitation facilities are also used in constructing wealth quintiles used by many integrated household surveys to analyse inequalities between rich and poor. Access to drinking water, sanitation and hygiene is therefore are core indicators for many household surveys and censuses. In high-income countries where household surveys or censuses do not collect detailed information on types of facilities used by households, the JMP relies on administrative records.
The information about the type of sanitation facilities and whether they are shared or not by other households are mostly collected through censuses and household surveys. Data on containment, emptying, transport, treatment, and reuse or final disposal of excreta may come either from population-based data sources (household surveys and censuses), or from administrative records (e.g. data from ministries, regulators). Data on off-site treatment of excreta and wastewater cannot be collected through household surveys. Data on management of wastewater in sewered systems are normally available from administrative sources such as utilities and regulators. In contrast, some data on management of on-site sanitation systems may come from households (e.g. reported emptying of septic tanks and latrine pits) while some may come from service providers (desludging companies, treatment plant operators). Frequently data are available from one but not the other of these types of sources. If data are available for the sanitation type which is used by the majority of the population (the ‘dominant sanitation type’), then an assumption is applied to the non-dominant sanitation type in order to make an estimate for safely managed sanitation services.
The population data used by JMP, including the proportion of the population living in urban and rural areas, are those established by the UN Population Division (UN DESA World Population Prospects: https://population.un.org/wpp/)."
Other data sources,Regional compilations
Expected frequency of data collection,The JMP begins its biennial data collection cycle in October of even years and publishes estimates during the following year.
Data providers,"National statistics offices; ministries of water, sanitation, health, environment; regulators of sanitation service providers."
Data compilers,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP)"
