Property,Value
Process of validation,"Every two years the JMP updates its global databases to incorporate the latest available national data for the global SDG indicators. National authorities are consulted on the estimates generated from national data sources through a country consultation process facilitated by WHO and UNICEF country offices. The country consultation aims to engage national statistical offices and other relevant national stakeholders to review the draft estimates and provide technical feedback to the JMP team.
The purpose of the consultation is not to compare JMP and national estimates of WASH coverage but rather to review the completeness or correctness of the datasets in the JMP country file and to verify the interpretation of national data in the JMP estimates. The JMP provides detailed guidance to facilitate country consultation on the estimates contained in JMP country files. The consultation focusses on three main questions:
1. Is the country file missing any relevant national sources of data that would allow for better estimates? 
2. Are the data sources listed considered reliable and suitable for use as official national statistics?
3. Is the JMP interpretation and classification of the data extracted from national sources accurate and appropriate?
The JMP estimates are circulated for a 2 month period of consultation with national authorities starting in the fourth quarter of the year prior to publication (https://washdata.org/how-we-work/jmp-country-consultation)."
Rationale,"Lack of access to adequate drinking water services contributes to deaths and illness, especially in children. Water based disease transmission by drinking contaminated water is responsible for significant outbreaks of diseases such as cholera and typhoid and includes diarrheal diseases, viral hepatitis A, cholera, dysentery and dracunculiasis (Guinea worm disease). Improvement of drinking water is a crucial element in the reduction of under-five mortality and morbidity and there is evidence that ensuring higher levels of drinking water services has a greater impact. The human right to water entitles everyone to sufficient, safe, acceptable, physically accessible and affordable water for personal and domestic use. Women and children spend millions of hours each year fetching water. The chore diverts their time from other important activities (for example attending school, caring for children, participating in the economy). When water is not available on premises and has to be collected, women and girls are much more likely than men and boys to be the main water carriers for their families. Many international organizations use access to safe drinking water as a measure for progress in the fight against poverty, disease, and death. Economic benefits of improved drinking water services include higher economic productivity, more education, and health-care savings."
Denominator,"Data are widely available on the type and location of drinking water sources used by households. Data on availability and safety of drinking water are increasingly available through a combination of household surveys and administrative sources including regulators, but definitions have yet to be standardized. The JMP has been collaborating with international survey programmes (such as the UNICEF Multiple Indicator Cluster Survey programme) and national survey programmes to develop standardized questions that address the SDG criteria for service levels, as well as a module for testing water quality in household surveys. The JMP gives high importance to extending these collaborations to reduce data gaps, ensure consistency and to progressively improve the quality and comparability of data used for national, regional and global estimates."
Institutional mandate,"The WHO/UNICEF JMP was established in 1990 to monitor global progress on drinking water, sanitation and hygiene (see washdata.org)."
Data collection process,"The JMP team conducts regular data searches by systematically visiting the websites of national statistical offices, and key sector institutions such as ministries of water and sanitation, regulators of drinking water and sanitation services, etc. Other regional and global databases are also reviewed for new datasets. UNICEF and WHO regional and country offices provides support to identify newly available household surveys, censuses and administrative datasets.
Before publishing, all JMP estimates undergo rigorous country consultations facilitated by WHO and UNICEF country offices. Often these consultations give rise to in-country visits, and meetings about data on drinking water, sanitation and hygiene services and the monitoring systems that collect these data."
Preferred data sources,"Data sources included in the JMP database are:
• Censuses, which in principle collect basic data from all people living within a country and are led by national statistical offices.
• Household surveys, which collect data from a subset of households. These may target national, rural, or urban populations, or more limited project or sub-national areas. An appropriate sample design is necessary for survey results to be representative, and surveys are often led by or reviewed and approved by national statistical organizations.
• Administrative data, which may consist of information collected by government or non-government entities involved in the delivery or oversight of services. Examples include water and sanitation inventories and databases, and reports of regulators.
• Other datasets may be available such as compilations by international or regional initiatives (e.g. Eurostat), studies conducted by research institutes, or technical advice received during country consultations.
Access to water, sanitation and hygiene are considered core socio-economic and health indicators, as well as key determinants of child survival, maternal, and children’s health, family wellbeing, and economic productivity. Drinking water, sanitation and hygiene facilities are also used in constructing wealth quintiles used by many integrated household surveys to analyse inequalities between rich and poor. Access to drinking water, sanitation and hygiene are therefore core indicators for many household surveys and censuses. In high-income countries where household surveys or censuses do not collect detailed information on the types of facilities used by households, the JMP relies on administrative records.
Data on availability and quality of drinking water are currently available from both household surveys and from government departments responsible for drinking water supply and regulators. In many low- and middle-income countries, existing water quality data from regulatory authorities is limited, especially for rural areas and populations using non-piped supplies. To complement regulatory data, an increasing number of low- and middle-income countries are collecting nationally representative data on drinking water quality through multi-topic household surveys. Beginning in 2012, a water quality module was developed standardized by the JMP in collaboration with UNICEF’s Multiple Indicator Cluster Survey (MICS) programme. Integration of water quality testing has become a feasible option due to the increased availability of affordable and accurate testing procedures and their adaptation for use by household survey experts. The growing interest in ensuring the implementation of water quality testing in these surveys can, to a large extent, be attributed to the incorporation of drinking water quality in the SDG global indicator for ‘safely managed drinking water services’. Data gaps will be reduced even more as regulation becomes more widespread in low- and middle-income countries.
Some datasets available to the JMP are not representative of national, rural or urban populations, or may be representative of only a subset of these populations (e.g. the population using piped water supplies). The JMP enters datasets into the global database when they represent at least 20% of the national, urban or rural populations. However, datasets representing less than 80% of the relevant population, or which are considered unreliable or inconsistent with other datasets covering similar populations, are not used in the production of estimates (see section 2.6, Data Acceptance in JMP Methodology: 2017 update and SDG baselines).
The population data used by the JMP, including the proportion of the population living in urban and rural areas, are those routinely updated by the UN Population Division (World Population Prospects: https://population.un.org/wpp/; World Urbanization Projects: https://population.un.org/wup))"
Other data sources,Regional compilations
Expected frequency of data collection,The JMP begins its biennial data collection cycle in October of even years and publishes estimates during the following year.
Data providers,"National statistics offices; ministries of water, sanitation, health, environment; regulators of sanitation service providers."
Data compilers,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP)"
