IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2004,0.11
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2016,0.31
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2021,0.63
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2015,0.2
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2008,0.2
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2014,0.19
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2020,0.66
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2007,0.15
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2013,0.12
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2019,0.6
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2012,0.15
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2018,0.57
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2017,0.48
45CA7C8,Density of pharmacists,COUNTRY,064,Bhutan,YEAR,2022,0.68
